1500 700
844 38 2
-788 822 1
767 478 2
-929 879 1
286 973 2
745 972 2
965 15 2
862 721 1
-85 976 1
-780 395 1
527 889 1
912 789 2
824 241 1
808 435 2
947 92 1
-880 724 2
-429 995 1
-483 813 1
-259 988 1
587 636 2
888 657 1
886 508 1
-831 358 2
-222 999 1
-848 861 2
-855 55 1
446 821 1
-779 434 1
-414 773 2
946 833 2
577 946 2
-152 912 2
960 141 1
-940 410 2
-535 765 1
858 481 2
-875 255 2
897 511 2
846 545 2
-333 847 1
-845 441 1
-904 351 2
-523 639 1
-659 783 1
887 769 2
675 811 1
-76 994 1
-623 597 2
560 988 1
-966 921 1
469 964 2
656 748 1
-718 420 1
-737 552 1
-848 748 1
754 832 2
875 106 2
-834 65 1
432 977 2
41 862 2
-953 813 2
-367 929 1
-449 790 1
731 961 1
-779 582 1
844 957 1
760 660 1
-897 604 2
622 867 2
-59 813 1
-720 563 2
-770 753 1
404 979 2
-873 238 2
-537 656 1
685 807 2
-779 834 2
-674 605 2
-977 65 2
-979 427 2
641 772 1
-880 4 2
-549 757 1
-132 886 2
866 310 1
-830 783 1
692 850 1
973 200 2
-858 927 1
-515 854 2
-278 976 2
-361 953 1
582 555 1
-856 409 2
-731 880 1
32 866 1
-906 632 1
818 116 1
-732 678 2
-188 907 1
954 357 1
-575 667 1
969 563 2
141 986 1
51 952 1
-907 374 2
-546 686 1
583 576 2
217 857 2
-137 830 1
-949 689 1
788 535 2
179 872 2
755 761 2
-450 920 2
-866 22 2
864 478 1
526 895 2
993 668 1
909 29 1
970 640 2
936 360 1
179 993 2
976 783 1
-888 931 2
641 944 1
-177 793 1
-692 724 2
419 776 2
915 626 2
-933 462 1
-918 587 2
466 872 1
-865 67 1
-382 761 2
-925 527 2
-627 897 1
-897 611 1
907 235 2
868 688 1
-953 191 2
776 847 1
120 859 1
882 773 1
678 759 2
792 185 2
-806 594 1
755 737 1
-804 417 1
872 181 1
-816 483 2
-973 821 1
-907 416 2
-123 877 2
647 672 1
780 542 1
803 552 2
888 748 1
-954 965 1
-967 223 1
-706 552 2
-424 781 2
-604 749 2
-757 565 2
501 670 2
813 208 1
426 749 1
-972 841 2
-331 801 1
589 634 1
-468 786 2
-934 326 1
966 42 2
-754 293 2
858 87 2
761 281 1
-768 240 2
663 827 1
-390 982 1
178 853 2
745 668 1
975 562 2
284 954 2
542 966 2
398 708 1
846 178 2
608 591 1
452 936 2
288 754 2
-936 119 1
352 925 2
315 828 2
-898 77 2
648 646 2
-246 842 1
807 648 1
-695 944 2
262 841 2
-51 858 1
729 729 2
864 898 2
757 425 2
-782 343 2
-896 182 1
208 856 1
-832 223 1
-505 731 2
-883 370 2
-252 858 1
-964 68 1
-755 842 2
250 882 2
131 879 1
-581 876 1
-807 244 1
-967 603 1
938 530 2
-617 998 1
-880 146 2
674 785 2
-668 875 2
-608 824 2
755 871 2
-150 855 1
496 630 1
-603 650 1
987 56 1
789 978 2
667 588 2
824 466 2
36 961 1
-838 731 1
-886 151 1
784 909 2
910 830 1
-859 947 1
952 829 2
857 545 1
654 661 2
664 940 2
868 97 1
-885 409 1
618 995 1
793 554 1
-724 719 2
706 894 2
-562 825 2
845 533 1
216 982 2
-848 198 1
-105 890 1
-851 324 1
-812 499 2
750 866 2
-973 40 1
968 454 1
414 722 2
-804 601 1
716 383 1
413 777 1
-910 976 1
-113 843 2
862 173 2
772 353 2
851 818 2
234 935 1
-958 667 1
21 863 2
42 988 1
-769 840 1
888 164 2
863 520 1
478 978 1
935 43 2
588 838 2
-866 346 1
888 91 2
684 829 1
-951 250 1
707 793 2
-717 854 2
-671 497 1
978 490 2
-879 712 2
539 978 1
942 115 1
-778 215 2
722 365 1
139 991 1
-486 669 1
-833 249 2
-609 857 2
-976 866 1
888 92 1
677 822 1
813 267 1
-958 572 1
998 281 1
-735 547 1
580 904 1
984 623 1
512 812 2
-845 949 2
147 938 2
375 879 2
-848 539 1
-413 767 1
-936 920 1
-441 707 2
-927 332 1
-920 821 1
77 976 2
-774 905 1
-94 799 2
-261 862 2
468 860 2
-514 735 1
178 810 2
219 871 1
-476 867 2
-523 974 1
534 670 2
-473 948 2
-935 216 1
-339 959 1
991 919 2
844 18 2
242 796 1
-933 21 1
826 455 1
-676 664 2
454 983 2
735 952 1
-733 744 2
-544 662 1
-712 626 2
-565 570 1
603 600 2
-679 899 1
-537 870 1
969 -1 2
331 736 1
-659 599 1
592 970 2
263 989 2
1000 399 1
616 807 2
-886 972 2
-916 935 2
-921 838 2
983 184 1
858 942 1
-958 512 2
75 969 2
928 175 1
-991 580 2
-805 510 2
-666 967 2
474 654 1
-243 984 1
-692 875 1
-710 581 2
888 666 1
504 669 1
-939 166 1
526 940 2
-571 725 2
155 839 2
-328 955 2
-722 683 2
840 978 1
-164 840 1
650 987 1
-988 102 1
181 913 2
751 622 1
-576 880 1
842 278 2
913 97 2
-483 861 1
-442 726 1
-885 4 1
808 959 2
469 768 1
-803 736 2
20 939 2
-235 882 2
-781 667 2
541 795 2
-587 793 1
-850 664 1
892 120 1
-875 62 2
-814 739 2
500 702 1
784 406 2
967 560 1
-934 132 1
-817 995 1
-992 591 1
-552 736 1
-835 654 1
703 749 1
-914 640 2
894 614 2
689 639 2
888 934 2
-422 888 2
375 926 1
923 952 2
812 478 2
263 868 2
-664 496 1
-878 48 1
-915 676 1
304 933 1
415 888 1
-412 713 2
-744 538 1
-844 271 2
860 347 1
450 898 2
-639 518 2
-865 720 1
-691 536 2
-793 534 1
518 812 1
-190 806 1
803 972 2
842 230 1
760 412 2
-341 904 2
325 873 1
-665 690 2
-764 745 1
862 169 1
-619 851 1
118 906 2
954 829 2
-903 143 2
625 968 2
-923 782 1
-731 833 1
761 727 2
953 736 2
-657 742 2
876 476 2
161 875 2
904 652 1
479 876 2
770 218 1
-466 983 2
-693 668 1
746 421 1
861 366 1
365 768 1
-893 537 2
-255 804 1
665 712 1
-933 163 1
-805 205 1
-832 368 2
501 683 1
-512 904 1
-585 651 2
-803 817 1
663 918 2
502 853 2
911 1 2
886 580 2
-877 517 2
786 670 2
901 639 1
-584 581 2
-576 702 2
-914 626 2
-940 923 2
-733 709 1
246 968 1
-762 659 1
849 709 1
508 722 1
-520 776 2
237 989 1
981 937 2
820 437 1
-223 883 1
659 832 2
901 259 2
-686 792 2
756 714 1
-748 637 2
493 676 2
109 950 2
800 131 1
-187 841 1
-748 720 2
965 171 2
52 891 2
815 484 1
-840 791 2
-892 332 2
-940 918 2
878 4 2
774 685 2
652 796 2
-886 917 2
911 676 2
846 977 1
-577 748 1
-800 732 1
-811 426 2
650 762 1
-963 452 2
496 867 1
-456 701 2
532 757 2
-625 969 1
398 862 2
-975 493 1
-324 828 1
-987 49 1
923 963 2
885 135 2
401 806 2
-188 817 1
545 955 1
-545 714 2
741 658 2
-992 7 1
696 832 1
-883 376 1
776 780 1
-599 642 2
862 732 2
954 662 2
-478 835 1
424 955 1
992 523 1
-512 868 2
-164 994 1
-885 858 2
-423 866 1
-824 787 2
629 517 2
809 860 2
725 589 1
-155 834 2
-257 848 2
130 884 1
705 839 2
-905 498 2
504 1000 1
-759 798 2
471 836 1
-3 984 1
-98 976 2
857 550 1
-669 813 2
-886 288 2
-306 854 2
-898 622 2
-134 944 2
-698 951 2
952 824 2
-806 554 2
712 995 2
-894 502 2
-695 731 1
-976 186 1
798 525 1
-734 360 1
-606 581 2
842 893 2
-919 256 2
-804 83 2
-138 894 1
-785 283 1
807 867 1
952 74 1
195 978 2
267 765 2
821 552 2
494 942 1
-870 14 2
-881 797 2
872 360 1
-740 783 2
774 629 2
957 542 2
904 132 1
788 662 2
970 477 1
872 281 1
-973 846 1
797 320 1
-861 140 1
-511 659 1
-904 785 1
268 852 1
474 645 1
517 629 2
-768 440 2
257 917 1
-932 98 1
-486 656 1
228 948 1
-533 915 2
978 43 2
-333 868 1
-632 595 2
-485 969 2
-698 627 2
224 810 1
-290 1000 1
-863 296 1
934 540 1
-645 983 2
617 592 1
766 685 2
109 809 1
-22 937 1
790 748 2
-691 683 2
-443 847 2
-983 107 1
26 857 1
-874 256 1
873 554 2
946 821 2
702 791 2
957 205 2
-523 694 1
421 984 2
-625 795 1
-814 311 1
905 711 1
913 555 2
-608 864 1
-644 687 1
-788 706 2
-131 950 2
910 379 1
980 240 1
-854 161 2
116 861 2
501 684 2
791 926 1
-748 423 2
-840 964 1
-711 893 2
-878 39 2
641 814 1
417 943 2
-859 652 1
181 844 1
-911 413 2
942 56 1
-882 654 2
-734 607 2
-811 235 2
311 905 2
54 914 2
-674 504 1
799 117 1
533 957 2
976 491 1
-948 43 2
362 744 2
377 834 2
-949 792 2
-705 605 2
929 714 1
952 434 2
953 798 1
-585 917 2
777 879 2
833 37 2
60 891 2
808 268 1
72 833 2
616 953 2
460 916 1
759 661 2
290 949 2
547 876 2
753 326 1
-378 994 2
884 348 2
799 73 2
964 795 1
933 644 2
-671 900 1
-295 900 2
973 9 1
-573 702 2
669 597 1
-958 102 1
-229 798 1
983 973 2
914 369 2
213 908 2
-707 944 1
-464 870 2
670 803 1
-582 977 1
-724 983 1
821 249 1
-290 939 1
-824 281 2
611 949 1
-973 510 2
417 967 2
-360 845 2
-834 482 1
816 230 2
-272 934 2
-866 945 2
-979 729 1
677 454 2
-607 704 1
-370 901 1
-835 486 1
-951 480 1
441 815 2
-935 65 1
497 809 2
-475 771 2
-447 956 1
-851 868 1
-791 147 2
598 997 1
-994 40 1
504 754 2
-794 901 1
833 469 2
-942 491 2
157 987 1
517 651 2
-891 202 1
-446 696 1
425 795 2
-318 919 1
387 752 2
-160 973 2
907 39 2
664 613 2
698 487 1
-769 781 1
-894 658 1
528 743 2
-637 800 1
654 794 1
-270 803 2
-497 995 2
998 734 1
821 858 1
-543 798 1
-718 538 2
808 299 1
783 558 1
-595 756 2
-769 943 2
722 540 2
-539 999 2
800 792 2
-474 921 2
-933 706 2
864 225 2
-617 632 1
-904 797 2
567 756 1
863 143 1
358 899 2
940 383 1
-251 816 2
357 786 2
900 766 1
976 818 2
922 548 1
-602 636 1
741 538 1
803 716 2
-749 282 2
973 122 1
821 666 1
583 644 1
731 803 1
-13 951 1
883 704 2
871 804 2
862 360 2
-798 161 1
123 823 2
-889 704 1
-548 948 2
-355 886 1
-650 626 2
-905 336 2
-911 58 1
994 809 1
-903 65 2
924 494 2
610 911 2
693 673 1
-876 986 2
971 150 2
952 192 1
-532 845 1
908 993 2
-650 553 1
439 758 2
-723 451 1
798 307 2
606 769 2
655 683 1
-152 946 2
-922 272 1
-891 514 1
-113 882 1
-680 911 1
780 856 2
-131 792 1
826 443 1
160 790 2
760 391 1
247 891 2
611 583 2
-872 248 1
-721 453 1
377 796 2
-4 852 2
563 975 1
-580 949 1
839 211 1
109 902 2
-872 401 1
-193 872 1
-935 197 2
49 909 2
896 254 2
919 515 2
108 963 1
310 839 1
-881 666 2
-803 929 1
-699 483 2
-739 325 1
-736 829 1
843 604 1
-455 664 1
-218 832 2
-416 891 2
-914 974 2
787 564 2
991 892 2
634 683 2
-883 781 2
-894 508 2
-903 181 1
469 708 2
931 273 2
909 227 2
-754 476 2
-604 936 2
-590 698 2
976 788 2
-653 919 1
956 415 2
-458 673 2
-596 570 1
-505 866 2
-648 860 2
915 860 1
-642 700 2
-755 358 2
-413 897 1
811 332 2
834 329 1
905 357 1
970 829 1
-996 611 2
379 865 2
-174 982 2
-926 488 1
-498 658 1
908 902 1
767 693 2
-683 698 2
-156 799 1
-766 765 2
869 276 1
997 172 1
-604 828 2
671 908 2
-447 837 1
-681 976 2
-797 685 1
-736 921 2
-141 796 2
-515 962 2
925 272 2
568 969 2
893 361 2
-184 977 1
546 599 1
540 820 2
941 265 1
-871 297 2
-230 912 1
-717 868 1
881 365 2
324 766 1
-578 642 2
229 838 2
599 946 2
-878 974 1
-903 164 2
814 839 2
662 817 2
-399 847 2
-778 332 1
-991 464 2
-404 926 2
478 832 1
645 778 1
-713 911 2
-561 667 2
-403 767 2
-952 103 1
-968 581 1
-953 773 2
296 923 2
225 906 2
-652 632 1
416 969 2
150 943 1
986 855 2
-991 523 2
978 287 1
-560 886 1
-654 935 1
387 830 2
-360 828 2
-360 825 2
320 842 2
-909 179 1
995 25 1
862 320 2
-754 721 2
-193 944 1
196 844 1
-897 684 2
359 795 1
-636 643 2
397 743 2
853 180 1
691 687 2
-752 737 1
-763 288 2
256 769 1
-576 860 2
678 435 1
917 12 2
-956 850 1
702 987 2
359 913 1
958 223 2
-605 820 2
846 414 2
-958 110 1
-868 377 1
458 685 2
-680 515 2
-656 771 1
-903 40 2
-483 900 1
810 589 2
-736 328 1
538 745 1
132 868 2
-658 802 1
819 371 1
-440 983 1
968 687 1
-124 936 2
-579 949 1
-910 542 1
-939 919 1
746 939 1
-543 759 2
516 757 1
862 394 1
-729 817 1
-341 958 2
372 897 1
745 979 1
-994 358 2
-943 24 2
662 492 1
677 670 2
362 906 1
855 360 2
833 928 1
946 599 1
-442 842 2
-293 765 2
-336 808 1
-785 874 1
-950 35 2
-660 471 2
900 533 1
-714 534 2
221 962 1
-473 855 2
-41 948 1
587 790 2
-929 875 2
557 880 1
-894 75 1
8 904 1
845 866 1
-766 571 1
-943 461 2
-787 587 2
-473 854 2
-622 542 2
-939 408 1
-226 913 1
-397 808 1
-872 8 1
682 558 2
541 683 1
335 864 1
659 694 1
360 846 1
329 787 1
-873 844 1
957 712 2
-618 774 1
-996 848 1
790 996 1
844 967 2
645 819 1
190 948 1
653 715 2
-665 863 2
403 903 2
986 378 2
-702 710 1
-948 868 1
-971 950 2
-584 879 1
-898 557 2
953 508 1
-772 951 1
-691 566 1
957 234 1
-403 872 1
769 957 2
992 337 1
782 449 2
873 180 2
675 627 1
-377 954 2
-840 30 2
511 792 2
899 773 2
993 295 1
402 859 1
27 855 2
-988 763 1
658 559 1
726 889 2
-944 613 2
-219 897 2
-398 988 1
989 104 1
732 961 2
-763 440 1
101 950 1
824 127 2
104 867 2
-949 513 2
844 168 1
-908 925 1
556 851 2
-910 330 2
761 896 1
-179 913 1
652 853 1
-939 1 1
969 848 2
832 827 2
-837 469 2
369 930 2
-690 757 1
96 961 1
-957 445 1
909 199 2
-213 861 1
-691 733 2
775 592 1
170 958 1
-426 944 2
-557 937 1
853 177 1
-979 548 2
561 837 1
907 877 2
-949 495 2
-993 107 2
28 946 1
-772 801 1
-71 946 1
-657 813 2
946 883 2
-521 829 1
-529 642 2
-934 827 1
675 669 2
297 847 1
-979 267 1
556 769 2
615 585 2
-553 618 1
943 567 1
-900 668 2
948 561 1
590 980 2
958 195 2
-750 549 2
-820 287 1
960 760 1
224 868 1
855 861 2
-761 333 2
414 871 2
-568 789 2
-443 954 1
-806 121 2
296 866 1
533 791 2
448 923 1
-737 936 2
403 714 2
907 797 1
96 865 1
933 414 1
-636 795 2
-490 939 2
-286 989 2
821 891 2
-866 140 1
815 786 1
720 469 2
357 774 2
-776 508 2
-889 270 2
-573 661 1
690 950 2
742 316 1
-967 890 2
933 417 1
244 947 2
40 961 2
-726 751 1
-361 757 2
-301 848 2
-896 853 1
-96 958 2
724 568 1
-905 93 1
-895 285 2
-422 784 1
-714 504 1
-802 187 2
646 716 1
741 366 1
665 543 2
-479 834 2
864 483 2
-997 202 2
420 1000 2
261 921 1
-740 939 2
-542 638 1
131 871 1
152 998 1
-412 868 2
-963 317 2
898 926 2
899 5 1
-470 889 1
869 16 2
-632 606 2
983 787 2
-277 856 1
852 700 2
-646 739 1
962 979 1
-898 984 2
-687 976 2
854 703 2
-551 712 1
-860 352 1
-923 353 2
477 711 1
-813 98 2
725 588 1
971 192 1
849 352 2
220 858 2
-410 817 2
-841 872 2
735 875 1
-932 439 1
734 849 2
691 791 2
922 918 2
-731 656 1
-927 374 1
965 75 1
-317 949 1
540 897 1
-911 658 1
-996 508 2
-451 680 2
-817 243 1
-892 656 2
888 538 2
-910 190 2
-238 956 2
-483 655 2
975 587 2
935 504 2
563 873 1
846 310 2
-647 567 2
-96 911 2
-786 632 1
821 693 1
85 835 2
-911 656 1
-507 674 1
-801 515 1
-615 805 2
450 955 1
338 813 2
881 244 1
-878 516 1
959 295 2
-163 798 2
311 843 1
-906 221 1
-911 850 1
-936 549 1
639 755 2
-748 651 1
22 899 1
-129 865 2
-664 999 2
466 686 1
-491 805 1
-126 912 1
-847 78 2
998 312 2
749 480 2
971 417 2
787 384 2
578 563 2
956 657 1
932 365 2
-391 913 2
-885 783 1
87 883 2
-791 824 1
344 822 2
875 105 1
-687 841 2
59 846 1
-902 933 1
899 587 2
-223 825 2
890 550 1
802 397 2
-899 41 1
69 807 2
-739 818 1
850 696 2
-169 788 2
-904 916 2
-851 48 1
-766 584 2
999 252 1
993 471 2
-503 725 1
899 314 1
-109 839 2
967 826 2
916 482 2
-123 851 1
-728 804 2
660 830 1
-666 766 2
-111 838 2
-985 48 1
-943 76 1
815 257 2
737 868 1
520 813 1
727 414 2
455 729 2
-971 646 2
825 838 2
-815 498 1
379 862 2
-685 763 1
892 346 1
831 525 1
954 762 2
852 428 2
493 652 1
-959 204 2
-821 966 2
994 227 2
402 813 2
994 627 1
130 824 1
-770 485 2
-838 302 1
605 588 1
876 768 1
-844 712 1
258 770 2
796 863 2
-814 201 2
-509 940 2
526 981 1
-906 899 2
750 621 2
894 357 2
-31 979 2
-252 969 2
-254 853 1
938 503 1
-626 657 1
-926 237 1
767 755 2
-148 869 1
802 206 1
-880 923 1
774 518 2
-25 846 1
596 936 2
-877 79 1
-207 820 2
831 272 2
435 984 1
-905 881 1
44 844 2
988 347 2
-996 126 2
984 928 1
-790 358 1
731 829 1
541 799 1
-424 864 2
-825 198 2
681 496 1
783 206 1
810 470 1
-908 189 2
751 963 1
-54 810 1
-854 668 1
280 865 2
945 240 2
-561 967 1
759 984 2
875 595 2
-755 272 2
-842 578 2
-92 862 1
-430 785 1
790 857 2
814 129 2
-802 123 2
500 660 2
931 697 2
979 266 2
-235 850 1
-191 909 2
817 914 1
-943 314 2
812 142 1
-435 907 1
-933 431 2
774 378 2
926 502 2
-528 759 1
-528 804 2
-875 490 2
-798 366 1
403 794 2
-896 275 2
903 735 2
697 571 2
717 750 1
747 833 1
-506 866 1
735 922 1
872 687 1
-978 723 2
612 990 2
816 581 1
837 768 2
-799 298 1
-842 65 1
530 734 1
752 877 2
431 790 2
-439 734 2
-965 286 2
511 743 2
-531 866 1
377 849 1
778 226 1
-870 871 2
-780 694 1
310 990 1
783 474 2
-97 820 2
-498 869 1
-551 769 2
-469 970 1
53 995 2
401 839 1
847 217 1
739 547 1
-802 884 1
741 621 1
402 734 2
-866 176 1
-950 806 1
-633 648 2
759 838 2
-594 783 2
847 207 1
-806 544 1
968 800 1
-249 911 2
-669 692 1
846 565 1
459 888 1
-803 568 2
-907 822 2
-436 702 2
-802 656 1
-985 817 1
-848 534 2
967 697 1
733 728 1
-903 295 2
81 838 1
903 908 1
469 889 1
-50 889 2
-103 922 1
330 843 1
419 918 2
-807 309 1
918 235 1
662 802 1
894 52 1
596 753 1
-29 864 1
883 754 1
778 766 1
-311 769 1
-522 920 2
941 796 1
-385 844 2
-191 898 1
899 210 1
548 820 1
-906 759 1
-159 840 2
871 507 1
-406 836 2
-973 311 1
630 687 1
-880 552 1
-81 847 2
985 421 1
-899 114 2
-986 369 1
952 726 2
988 874 1
378 892 2
