1500 700
786 427 2
-860 617 1
-542 606 1
608 842 1
-767 430 1
-373 744 1
-915 280 2
816 284 1
-493 855 2
788 419 2
753 730 1
-235 978 2
-861 349 2
755 606 2
664 756 2
-649 550 1
-515 635 1
235 964 1
503 816 1
-384 737 1
681 751 1
903 492 1
984 226 1
-922 390 1
923 219 2
943 845 1
824 357 1
817 635 1
-810 937 2
908 779 2
6 827 2
945 528 1
690 537 1
345 745 1
-716 803 1
-260 812 2
-849 219 2
239 850 1
-826 395 1
944 520 2
599 726 2
-125 862 2
452 970 1
-976 63 2
-831 434 1
-890 29 1
-918 297 1
-823 706 2
-890 487 1
295 834 1
806 5 1
981 822 1
-583 738 2
-559 827 1
-301 977 1
950 836 1
-863 815 1
908 513 2
-762 694 2
-818 447 2
953 575 2
719 666 1
469 875 1
850 504 1
-339 837 2
-523 940 1
850 687 1
805 288 2
-74 820 1
-930 193 1
535 628 2
886 85 1
205 838 1
729 695 1
726 532 2
23 930 2
-693 874 2
919 309 2
373 875 2
634 867 2
-84 881 2
-512 931 2
-939 986 2
-738 550 2
813 943 2
637 606 2
-684 518 2
881 458 2
857 695 1
781 455 2
794 249 2
661 595 2
822 805 2
238 923 1
988 982 2
859 737 1
-694 527 2
808 226 2
-216 774 1
-417 821 2
975 866 1
776 725 2
-712 849 2
-627 576 1
-866 490 1
983 539 2
-174 810 1
-8 832 2
-1000 688 1
921 978 2
763 696 2
-979 716 2
393 789 1
-621 587 2
303 822 2
911 178 2
-839 8 1
-851 484 1
864 676 2
-564 696 2
-828 627 1
261 772 1
-748 953 1
-797 665 1
845 777 1
471 805 1
-806 246 1
-731 620 1
-672 956 2
-569 753 2
725 906 1
665 573 1
-633 837 1
967 307 2
-242 916 2
-609 621 2
-964 371 1
-697 511 2
773 901 1
506 774 2
864 609 2
-953 945 2
124 906 2
-910 969 2
242 948 1
-826 415 1
-337 989 2
946 73 1
979 883 2
-443 922 1
-807 290 2
284 791 2
845 503 1
-685 647 2
-727 910 1
-836 856 2
767 727 1
950 368 2
39 957 1
961 606 2
980 372 1
-418 746 1
781 217 2
685 627 1
411 713 1
952 527 2
-465 783 1
-723 797 2
-692 854 2
-935 186 1
-793 298 1
-249 773 1
-621 544 2
15 814 2
-835 644 1
268 941 1
-761 721 1
604 993 1
-86 822 1
870 268 2
-857 265 2
-761 758 2
-876 857 2
845 650 2
600 541 1
-802 502 1
-1 977 1
-776 408 2
459 751 1
922 903 2
592 647 2
823 270 1
727 997 2
774 738 2
940 933 1
-793 261 2
-575 891 1
-398 993 1
938 820 2
610 694 2
-24 915 1
-8 975 2
784 421 1
-728 685 2
854 8 1
-813 844 1
760 492 1
-657 840 1
-772 416 2
-793 266 1
286 761 2
-899 462 2
66 813 1
-816 605 1
818 86 2
-331 840 2
-735 938 1
-966 306 2
996 597 1
-571 826 2
-757 429 1
-989 463 1
-824 66 2
224 848 1
641 576 1
24 886 2
594 634 2
-618 759 2
-633 816 1
-873 944 1
-938 870 2
-528 866 1
549 708 2
575 585 1
710 425 1
-686 469 1
-890 781 2
499 771 2
202 788 1
-122 966 2
409 812 2
-589 845 2
-794 827 1
379 940 2
523 679 1
-837 366 2
-106 898 2
-805 60 1
597 733 1
-795 752 2
467 872 2
838 120 2
925 732 1
712 599 2
-486 809 2
-68 942 2
39 968 1
998 571 2
-406 798 1
979 637 1
965 330 1
-559 631 2
898 68 2
6 854 1
489 936 1
-968 396 1
847 977 1
-673 454 1
317 740 2
826 860 2
-124 922 2
763 727 2
-400 905 2
998 853 1
922 316 2
-247 950 2
-993 321 2
-769 355 1
993 280 1
-933 156 2
-822 326 1
-920 427 1
-945 786 2
-472 865 2
784 288 1
-973 561 2
-645 958 1
-672 698 2
277 950 1
188 885 1
410 699 2
950 546 2
-494 694 1
-779 679 2
-614 827 2
375 721 1
-450 714 1
175 789 1
-873 827 1
626 559 2
-934 345 2
-606 552 1
-481 810 1
431 959 2
971 639 1
821 851 1
-849 798 1
0 979 1
-831 797 2
-602 691 2
-238 798 2
768 732 1
-665 623 2
805 336 2
-105 983 1
470 830 2
825 948 2
-268 878 2
-538 970 2
758 539 2
-550 959 2
551 731 1
907 506 1
-123 854 1
-122 848 2
-756 951 1
41 982 1
845 544 2
-1000 805 1
21 802 1
-883 644 1
-878 807 1
119 957 1
-983 855 1
-1000 193 2
123 850 1
-759 722 1
-615 546 2
552 999 1
92 998 1
-920 981 1
-55 889 1
-670 462 2
911 566 1
784 539 1
925 212 2
-200 816 2
-474 713 2
-767 516 1
276 866 2
-486 790 2
855 711 2
-911 105 2
-598 910 2
-769 364 2
840 621 1
-848 126 2
916 81 1
-766 365 2
