1500 1
575 56 124
-759 -933 263
742 -840 549
337 442 301
633 -446 230
-832 305 362
-347 191 194
676 446 705
405 -618 701
-5 440 424
756 -504 827
-774 427 394
846 -930 1052
148 106 140
-359 -830 383
-412 864 503
25 161 132
478 308 329
864 -409 640
290 -13 8
20 -913 12
-305 -656 668
-750 290 758
360 -831 516
18 -408 86
-163 -160 77
-301 716 53
-740 410 518
-360 -416 428
-502 -231 95
-728 -855 789
97 -761 451
822 125 503
589 -486 745
-543 589 625
-904 392 559
775 -747 928
151 490 481
-953 505 111
515 -355 251
537 -507 670
-927 -791 677
-6 -941 737
871 -671 282
-214 470 14
-893 -173 131
365 -57 272
-75 727 687
-80 388 252
885 -586 308
286 332 281
-329 824 298
-768 836 337
382 -438 2
-947 626 25
-921 -364 389
-340 -42 211
928 -841 544
-104 -706 192
-625 -390 649
-862 -865 808
-40 -148 67
553 -56 265
404 422 233
-485 605 739
-815 73 654
-480 253 493
-9 384 112
324 388 421
-516 624 176
-192 818 137
-427 126 340
511 287 135
282 -401 413
-134 659 564
-917 406 85
809 -715 242
-976 -437 341
-6 -104 33
-608 160 415
-253 -850 708
-165 -419 409
-46 -872 263
622 -607 1
-88 -460 373
-469 -49 92
-541 -728 237
-47 723 34
-675 190 346
996 813 656
-264 -391 344
-9 -181 104
-242 -652 636
396 -244 192
-436 161 454
-330 -540 410
1 -188 161
-5 -426 54
-170 540 79
26 947 251
63 534 239
496 509 688
-101 764 83
-728 860 1037
-194 549 31
-522 -926 797
203 -582 336
-140 614 52
741 872 913
657 -435 648
-739 41 492
333 510 50
-83 432 29
-816 882 450
860 -241 454
548 441 506
994 983 115
918 -866 1194
419 -753 782
136 -867 11
-351 -953 925
-510 -966 388
-519 410 647
51 497 342
183 875 233
416 -885 870
386 696 183
700 612 507
541 -250 481
-698 465 837
-246 404 98
-717 -701 694
-221 147 260
-690 -895 867
-511 -67 364
-210 50 52
36 785 152
557 -244 419
-794 -652 624
443 448 61
-156 518 192
65 -933 510
509 342 526
88 524 199
28 -928 862
969 -605 715
-551 98 542
641 715 518
-191 59 86
348 -217 225
829 546 634
-657 -428 519
-387 -846 823
490 948 84
78 -143 158
-410 72 350
598 -190 125
-779 541 655
-860 -394 131
-340 -928 647
238 -242 318
893 385 223
61 -975 941
-85 194 202
423 541 144
-86 -660 585
838 326 218
-710 -818 525
505 -676 207
478 946 37
-738 -923 1068
-789 -281 638
244 -402 48
-692 -56 241
493 170 409
-870 -131 782
-628 659 595
-594 -361 676
811 -650 1015
291 -12 203
-932 610 738
614 -142 580
595 -871 26
535 -340 510
-763 -123 681
-10 -983 320
735 -685 27
828 -207 402
-992 340 153
80 943 589
949 -474 816
7 -673 89
424 -539 195
-465 343 396
69 203 134
658 611 646
170 -364 365
-579 23 63
-155 -20 59
607 -303 12
866 -68 859
-626 -272 572
75 25 33
-27 -16 23
-535 -420 256
-332 -838 69
246 424 344
-425 -638 466
239 79 183
-443 -192 39
-75 777 199
616 -529 348
778 89 289
-301 -909 283
-183 -349 356
437 296 304
-873 365 470
-714 77 191
-526 -354 168
-245 -732 624
-741 -951 697
-976 -420 197
820 974 303
790 -917 727
-116 759 466
331 291 230
374 412 357
556 490 281
-942 -282 138
-417 349 489
560 513 238
657 -892 163
431 482 445
-158 -341 137
-565 -249 21
262 451 3
-836 516 86
-786 -728 801
-755 233 38
168 635 205
-942 -729 87
640 -860 854
-322 -146 215
714 -783 636
631 279 464
523 810 400
558 -412 106
-447 873 729
-769 884 892
-875 609 1037
821 387 402
-145 883 790
146 -848 304
-934 183 531
-687 -841 642
-963 -852 1077
-168 112 160
479 14 279
986 629 1018
