1500 700
-554 629 2
663 479 1
-674 458 2
960 449 1
657 999 2
931 952 2
564 820 1
958 102 2
346 899 2
348 985 1
-826 767 1
322 741 1
531 916 2
529 876 1
630 907 2
-765 651 2
-10 954 2
-943 77 2
-800 481 2
708 406 2
826 55 2
931 602 2
869 480 2
-852 973 1
-572 871 2
867 234 1
-898 206 2
-581 615 2
-185 843 1
-62 892 2
888 2 2
-877 705 1
883 994 2
837 208 1
-736 583 2
812 246 1
-722 773 1
-835 155 2
655 898 1
-695 400 1
776 931 2
-885 71 1
-540 874 1
-725 829 1
520 696 2
-608 523 2
-961 747 2
829 377 1
804 889 2
263 820 1
944 774 2
-520 643 2
-902 279 2
-789 477 1
668 667 2
411 755 1
940 931 1
303 879 2
-850 27 2
998 812 2
828 552 2
255 991 2
529 647 1
-685 928 2
-809 50 1
-102 884 2
310 763 2
353 723 2
781 240 2
461 671 1
305 785 1
972 784 2
-725 371 2
875 101 2
838 542 1
759 951 2
-208 799 1
-812 835 2
-950 889 2
-640 759 1
-916 422 2
-491 653 1
-141 876 2
489 676 1
-941 558 1
-319 935 1
793 280 2
-821 776 2
-941 1000 2
-748 361 2
-934 245 2
263 823 2
912 32 2
675 544 2
-927 628 1
-140 806 1
-118 874 2
-811 60 2
584 989 1
-421 788 2
-457 936 2
-888 438 1
-757 648 1
-800 940 2
-153 788 2
-956 111 2
-496 948 1
723 741 2
883 734 1
-874 194 2
867 958 1
808 705 2
-537 948 1
280 960 1
-334 756 2
-963 546 1
274 915 2
833 777 2
-284 757 2
-666 865 2
546 649 2
450 680 2
129 816 1
-299 859 1
-230 902 2
898 38 2
-937 376 2
588 891 1
-876 272 1
617 770 1
-80 860 1
-975 250 2
-548 928 1
9 917 2
654 530 2
445 834 1
-935 760 1
-839 129 2
-586 918 2
918 655 2
749 361 2
908 143 2
-616 783 2
-495 730 1
-917 71 2
-897 622 2
763 747 2
-912 737 1
874 210 2
838 790 1
-783 661 2
-907 885 2
-866 630 1
194 922 2
-938 342 1
-86 833 1
-655 712 1
-839 407 2
943 196 2
-897 580 1
884 124 1
889 394 1
-795 994 2
-693 545 1
-684 975 2
732 682 1
496 863 1
608 558 1
-221 918 2
503 804 2
-515 722 1
732 907 2
-429 799 2
968 525 1
923 321 2
807 344 2
398 943 2
-711 667 1
-869 516 1
-401 957 1
-589 791 1
-86 988 2
3 974 2
-839 983 2
-963 641 1
-505 683 1
-638 963 1
-274 972 2
-922 518 1
281 921 1
538 872 1
-984 515 1
836 116 2
-680 668 2
-695 701 1
-768 266 2
479 800 1
-724 886 1
-696 548 1
752 855 1
894 893 2
833 804 1
-898 715 2
-248 961 1
787 371 1
914 585 1
816 380 1
308 740 1
773 666 1
876 905 2
-924 368 1
808 681 2
-775 222 1
865 179 1
-920 585 2
880 60 2
-420 688 1
617 583 1
-923 390 2
-600 767 1
948 773 2
-157 973 2
-776 913 1
952 836 2
993 724 1
848 38 2
128 832 2
-928 384 1
884 513 2
-782 964 2
959 359 2
636 870 1
-519 884 2
-926 95 1
338 926 2
238 874 1
376 718 2
-750 333 1
616 952 2
-276 853 2
743 754 2
810 234 1
-739 333 1
105 796 1
966 63 2
949 568 2
-309 880 1
-910 981 1
892 124 2
-489 907 2
765 623 1
453 838 2
-459 897 2
-903 346 2
-796 589 1
-339 931 2
670 714 2
-438 706 1
433 888 1
878 809 1
328 797 1
753 657 1
-376 833 1
-714 542 2
36 860 1
-44 938 2
-816 712 1
560 592 1
904 861 1
-815 215 2
828 890 2
996 327 1
866 245 2
926 88 1
-650 775 2
-636 910 1
-971 759 2
-115 833 2
-990 333 2
-185 869 1
-788 888 1
-849 472 1
955 614 2
-766 266 1
-716 770 1
-959 882 2
518 920 1
149 858 1
-542 972 1
-723 902 1
870 615 2
290 854 2
86 857 1
22 863 1
-781 503 2
829 759 2
600 957 2
-743 846 1
-815 420 2
-599 848 1
-318 990 2
711 474 1
636 943 1
354 779 1
-858 729 2
840 264 2
588 629 2
-869 452 2
813 611 2
887 368 2
879 274 2
403 781 2
651 592 2
823 55 1
-721 539 1
986 199 1
-835 113 1
886 778 1
-855 830 2
25 837 1
-932 973 1
473 669 1
652 752 2
-903 372 1
-902 357 1
970 291 2
790 570 1
982 575 1
-990 707 1
542 931 2
765 746 2
953 860 2
-836 549 2
-831 818 1
862 509 1
-756 288 2
850 466 2
-486 852 1
-828 308 2
-864 174 2
366 887 1
947 276 2
-141 930 1
428 890 2
882 195 2
-830 591 1
-583 894 2
-907 290 1
230 789 2
-681 863 1
-953 34 1
-884 74 2
828 789 2
-821 793 1
-921 107 1
661 702 1
-951 901 2
-978 177 2
783 399 1
735 623 2
-439 726 1
-403 717 1
874 394 1
-838 193 1
833 456 1
-452 896 1
965 233 1
834 691 1
-732 888 1
379 800 1
515 727 1
-889 735 1
990 515 2
-704 563 1
807 37 2
-189 933 1
592 968 1
-949 467 2
818 24 1
-851 751 2
-785 938 2
-676 446 1
565 713 2
-980 842 2
-656 925 2
-996 889 1
-777 819 1
992 108 2
563 875 1
994 787 2
-43 825 1
-261 766 2
-349 975 2
608 974 2
-563 872 1
-766 940 2
-146 895 2
-926 948 1
346 989 2
-737 499 1
970 228 2
797 265 2
-816 253 1
-484 927 2
826 831 1
863 119 2
-1000 139 1
-881 263 2
953 687 2
932 211 2
-589 772 1
-796 490 1
-916 899 2
-707 644 2
-946 853 2
668 665 2
-668 674 1
-573 990 1
895 370 2
-945 916 1
-878 980 1
922 478 1
-695 558 2
498 755 1
569 683 2
-984 999 2
959 521 1
866 752 2
259 809 1
761 917 1
-880 380 2
786 712 1
-441 988 1
-463 910 1
813 681 1
954 107 2
983 912 1
169 927 2
32 999 1
-682 892 1
502 1000 1
-915 847 1
-805 426 2
-762 874 1
969 358 1
747 719 1
915 47 1
-944 995 1
-926 898 2
505 908 2
-794 977 1
884 240 1
-908 562 2
839 374 2
-301 937 1
610 594 2
-807 758 1
-800 153 2
858 28 2
-726 494 1
692 695 1
922 630 1
-831 719 2
-125 918 1
848 930 2
543 858 2
483 980 1
886 940 2
862 770 2
748 446 2
980 288 2
-822 338 2
225 824 1
83 869 1
405 788 1
826 409 1
831 12 2
808 871 2
-855 499 2
-829 320 2
963 959 2
-532 663 1
-10 929 1
988 15 2
-940 989 1
800 39 1
-528 957 2
-884 133 2
555 801 1
270 839 2
-781 640 1
526 909 2
1000 922 1
784 402 1
529 727 2
948 65 2
-987 893 2
843 37 2
-296 939 1
-861 215 1
-861 649 1
572 854 2
852 166 1
332 770 2
989 608 1
-287 999 1
818 19 1
