1500 1500
393 1000 999
-613 1000 999
241 1000 999
-977 1000 999
480 1000 999
-426 1000 999
-53 1000 999
-261 1000 999
-809 1000 999
-706 1000 999
121 1000 999
99 1000 999
42 1000 999
-441 1000 999
-658 1000 999
497 1000 999
-294 1000 999
-454 1000 999
-388 1000 999
337 1000 999
-285 1000 999
-104 1000 999
364 1000 999
-873 1000 999
4 1000 999
-599 1000 999
114 1000 999
-371 1000 999
-624 1000 999
-274 1000 999
459 1000 999
-290 1000 999
-238 1000 999
-155 1000 999
-951 1000 999
202 1000 999
-14 1000 999
94 1000 999
-991 1000 999
-987 1000 999
112 1000 999
-42 1000 999
-213 1000 999
425 1000 999
-143 1000 999
-993 1000 999
-15 1000 999
283 1000 999
189 1000 999
-868 1000 999
-412 1000 999
-175 1000 999
-116 1000 999
387 1000 999
-264 1000 999
-883 1000 999
-232 1000 999
-130 1000 999
-816 1000 999
-636 1000 999
-770 1000 999
-486 1000 999
-422 1000 999
-696 1000 999
-855 1000 999
-763 1000 999
-292 1000 999
71 1000 999
231 1000 999
226 1000 999
420 1000 999
-282 1000 999
-176 1000 999
363 1000 999
-212 1000 999
376 1000 999
-258 1000 999
-68 1000 999
-766 1000 999
-183 1000 999
-21 1000 999
-452 1000 999
-735 1000 999
-738 1000 999
-756 1000 999
-906 1000 999
-329 1000 999
-391 1000 999
-71 1000 999
-169 1000 999
-204 1000 999
-206 1000 999
499 1000 999
175 1000 999
350 1000 999
-69 1000 999
-524 1000 999
-714 1000 999
195 1000 999
-973 1000 999
-478 1000 999
148 1000 999
-234 1000 999
-433 1000 999
-255 1000 999
-59 1000 999
-954 1000 999
-84 1000 999
-44 1000 999
-54 1000 999
-902 1000 999
-531 1000 999
-703 1000 999
-225 1000 999
-48 1000 999
367 1000 999
370 1000 999
212 1000 999
-900 1000 999
-397 1000 999
-830 1000 999
51 1000 999
342 1000 999
-31 1000 999
-682 1000 999
-694 1000 999
117 1000 999
-78 1000 999
-841 1000 999
399 1000 999
473 1000 999
-62 1000 999
-202 1000 999
-787 1000 999
438 1000 999
-550 1000 999
-528 1000 999
-710 1000 999
-275 1000 999
242 1000 999
-779 1000 999
-468 1000 999
-87 1000 999
397 1000 999
-884 1000 999
472 1000 999
-594 1000 999
151 1000 999
217 1000 999
-220 1000 999
200 1000 999
-587 1000 999
-167 1000 999
-861 1000 999
-37 1000 999
-995 1000 999
